# BRDF Data for aluminum in visible spectrum
#
# Data from "A Data-Driven Reflectance Model", 
#   Wojciech Matusik, Hanspeter Pfister, Matt Brand 
#   and Leonard McMillan, ACM Transactions on 
#   Graphics 22, 3(2003), 759-769.
#
# phi_in     theta_in     phi_out     theta_out     brdf
11.250000     180.000000     34.453125     0.000000     0.025699
11.250000     180.000000     35.156250     0.000000     0.027037
11.250000     180.000000     35.859375     0.000000     0.023465
11.250000     180.000000     36.562500     0.000000     0.023465
11.250000     180.000000     37.265625     0.000000     0.020751
11.250000     180.000000     37.968750     0.000000     0.020751
11.250000     180.000000     38.671875     0.000000     0.017938
11.250000     180.000000     39.375000     0.000000     0.018122
11.250000     180.000000     40.078125     0.000000     0.015922
11.250000     180.000000     40.781250     0.000000     0.016601
11.250000     180.000000     41.484375     0.000000     0.016601
11.250000     180.000000     42.187500     0.000000     0.014674
11.250000     180.000000     42.890625     0.000000     0.015213
11.250000     180.000000     43.593750     0.000000     0.013664
11.250000     180.000000     44.296875     0.000000     0.013664
11.250000     180.000000     45.000000     0.000000     0.014349
11.250000     180.000000     45.703125     0.000000     0.012218
11.250000     180.000000     46.406250     0.000000     0.012218
11.250000     180.000000     47.109375     0.000000     0.011340
11.250000     180.000000     47.812500     0.000000     0.011340
11.250000     180.000000     48.515625     0.000000     0.011340
11.250000     180.000000     49.218750     0.000000     0.011132
11.250000     180.000000     49.921875     0.000000     0.011132
11.250000     180.000000     50.625000     0.000000     0.010375
11.250000     180.000000     51.328125     0.000000     0.010939
11.250000     180.000000     52.031250     0.000000     0.010939
11.250000     180.000000     52.734375     0.000000     0.009744
11.250000     180.000000     53.437500     0.000000     0.010505
11.250000     180.000000     54.140625     0.000000     0.010505
11.250000     180.000000     54.843750     0.000000     0.010810
11.250000     180.000000     55.546875     0.000000     0.010810
11.250000     180.000000     56.250000     0.000000     0.010133
11.250000     180.000000     56.953125     0.000000     0.010824
11.250000     180.000000     57.656250     0.000000     0.010824
11.250000     180.000000     58.359375     0.000000     0.010228
11.250000     180.000000     59.062500     0.000000     0.010986
11.250000     180.000000     59.765625     0.000000     0.010986
11.250000     180.000000     60.468750     0.000000     0.010622
11.250000     180.000000     61.171875     0.000000     0.011672
11.250000     180.000000     61.875000     0.000000     0.011672
11.250000     180.000000     62.578125     0.000000     0.010761
11.250000     180.000000     63.281250     0.000000     0.011535
11.250000     180.000000     63.984375     0.000000     0.011535
11.250000     180.000000     64.687500     0.000000     0.010657
11.250000     180.000000     65.390625     0.000000     0.011498
11.250000     180.000000     66.093750     0.000000     0.011498
11.250000     180.000000     66.796875     0.000000     0.012205
11.250000     180.000000     67.500000     0.000000     0.011182
11.250000     180.000000     68.203125     0.000000     0.011182
11.250000     180.000000     68.906250     0.000000     0.011894
11.250000     180.000000     69.609375     0.000000     0.010829
11.250000     180.000000     70.312500     0.000000     0.010829
11.250000     180.000000     71.015625     0.000000     0.011414
11.250000     180.000000     71.718750     0.000000     0.010458
11.250000     180.000000     72.421875     0.000000     0.010458
11.250000     180.000000     73.125000     0.000000     0.010983
11.250000     180.000000     73.828125     0.000000     0.009897
11.250000     180.000000     74.531250     0.000000     0.009897
11.250000     180.000000     75.234375     0.000000     0.010582
11.250000     180.000000     75.937500     0.000000     0.010582
11.250000     180.000000     76.640625     0.000000     0.009503
11.250000     180.000000     77.343750     0.000000     0.010097
11.250000     180.000000     78.046875     0.000000     0.010097
11.250000     180.000000     78.750000     0.000000     0.009636
11.250000     180.000000     79.453125     0.000000     0.009636
11.250000     180.000000     80.156250     0.000000     0.009636
11.250000     180.000000     80.859375     0.000000     0.010101
11.250000     180.000000     81.562500     0.000000     0.009201
11.250000     180.000000     82.265625     0.000000     0.009201
11.250000     180.000000     82.968750     0.000000     0.009879
11.250000     180.000000     83.671875     0.000000     0.008684
11.250000     180.000000     84.375000     0.000000     0.008684
11.250000     180.000000     85.078125     0.000000     0.009076
11.250000     180.000000     85.781250     0.000000     0.009076
11.250000     180.000000     86.484375     0.000000     0.008301
11.250000     180.000000     87.187500     0.000000     0.008072
11.250000     180.000000     87.890625     0.000000     0.008072
11.250000     180.000000     88.593750     0.000000     0.008072
11.250000     180.000000     89.296875     0.000000     0.007340
22.500000     180.000000     -89.296875     0.000000     0.001713
22.500000     180.000000     -88.593750     0.000000     0.001713
22.500000     180.000000     -87.890625     0.000000     0.001663
22.500000     180.000000     -87.187500     0.000000     0.001663
22.500000     180.000000     -86.484375     0.000000     0.001618
22.500000     180.000000     -85.781250     0.000000     0.001633
22.500000     180.000000     -85.078125     0.000000     0.001633
22.500000     180.000000     -84.375000     0.000000     0.001588
22.500000     180.000000     -83.671875     0.000000     0.001588
22.500000     180.000000     -82.968750     0.000000     0.001610
22.500000     180.000000     -82.265625     0.000000     0.001547
22.500000     180.000000     -81.562500     0.000000     0.001547
22.500000     180.000000     -80.859375     0.000000     0.001547
22.500000     180.000000     -80.156250     0.000000     0.001545
22.500000     180.000000     -79.453125     0.000000     0.001545
22.500000     180.000000     -78.750000     0.000000     0.001545
22.500000     180.000000     -78.046875     0.000000     0.001530
22.500000     180.000000     -77.343750     0.000000     0.001530
22.500000     180.000000     -76.640625     0.000000     0.001584
22.500000     180.000000     -75.937500     0.000000     0.001573
22.500000     180.000000     -75.234375     0.000000     0.001573
22.500000     180.000000     -74.531250     0.000000     0.001573
22.500000     180.000000     -73.828125     0.000000     0.001584
22.500000     180.000000     -73.125000     0.000000     0.001584
22.500000     180.000000     -72.421875     0.000000     0.001563
